date,killed,wounded,city,state
2022-06-01 00:00:00+00:00,0,4,Waco,TX
2022-05-31 00:00:00+00:00,4,0,Wyoming,MI
2022-05-30 00:00:00+00:00,0,10,Charleston,SC
2022-05-30 00:00:00+00:00,1,6,Benton Harbor,MI
2022-05-30 00:00:00+00:00,2,2,Philadelphia,PA
2022-05-29 00:00:00+00:00,0,4,Houston,TX
2022-05-29 00:00:00+00:00,1,4,Chicago,IL
2022-05-29 00:00:00+00:00,1,5,Phoenix,AZ
2022-05-29 00:00:00+00:00,0,7,Henderson,NV
2022-05-29 00:00:00+00:00,1,3,Merced,CA
2022-05-29 00:00:00+00:00,1,7,Taft,OK
2022-05-29 00:00:00+00:00,0,5,Chicago,IL
2022-05-28 00:00:00+00:00,0,5,Memphis,TN
2022-05-28 00:00:00+00:00,1,3,Fresno,CA
2022-05-28 00:00:00+00:00,0,4,Colorado Springs,CO
2022-05-28 00:00:00+00:00,0,4,Malabar,FL
2022-05-28 00:00:00+00:00,0,6,Chattanooga,TN
2022-05-27 00:00:00+00:00,0,6,Anniston,AL
2022-05-27 00:00:00+00:00,4,1,Austin Twp.,MI
2022-05-25 00:00:00+00:00,0,4,Philadelphia,PA
2022-05-24 00:00:00+00:00,22,17,Uvalde,TX
2022-05-23 00:00:00+00:00,0,5,Cleveland,OH
2022-05-23 00:00:00+00:00,0,5,North Charleston,SC
2022-05-22 00:00:00+00:00,4,0,Pell City,AL
2022-05-21 00:00:00+00:00,0,4,Tacoma,WA
2022-05-21 00:00:00+00:00,2,3,Goshen,IN
2022-05-20 00:00:00+00:00,1,8,Highland,CA
2022-05-20 00:00:00+00:00,1,3,New Orleans,LA
2022-05-20 00:00:00+00:00,1,3,Kissimmee,FL
2022-05-19 00:00:00+00:00,2,7,Chicago,IL
2022-05-18 00:00:00+00:00,4,0,Houston,TX
2022-05-18 00:00:00+00:00,0,5,Philadelphia,PA
2022-05-17 00:00:00+00:00,1,3,Palo Alto,CA
2022-05-15 00:00:00+00:00,0,4,Elizabeth City,NC
2022-05-15 00:00:00+00:00,1,4,Amarillo,TX
2022-05-15 00:00:00+00:00,0,7,Winston-Salem,NC
2022-05-15 00:00:00+00:00,1,5,Laguna Woods,CA
2022-05-15 00:00:00+00:00,2,3,Houston,TX
2022-05-14 00:00:00+00:00,10,3,Buffalo,NY
2022-05-13 00:00:00+00:00,0,5,Napoleonville,LA
2022-05-13 00:00:00+00:00,0,17,Milwaukee,WI
2022-05-13 00:00:00+00:00,2,3,Dallas,TX
2022-05-12 00:00:00+00:00,1,4,Hot Springs,AR
2022-05-11 00:00:00+00:00,1,4,Paterson,NJ
2022-05-11 00:00:00+00:00,1,3,St. Louis,MO
2022-05-11 00:00:00+00:00,0,4,Chicago,IL
2022-05-10 00:00:00+00:00,1,3,Brookshire,TX
2022-05-10 00:00:00+00:00,0,6,Chicago,IL
2022-05-10 00:00:00+00:00,0,5,Indianapolis,IN
2022-05-10 00:00:00+00:00,1,4,Chicago,IL
2022-05-10 00:00:00+00:00,0,5,Baltimore,MD
2022-05-10 00:00:00+00:00,1,3,Baltimore,MD
2022-05-10 00:00:00+00:00,0,4,Philadelphia,PA
2022-05-09 00:00:00+00:00,0,5,Tuscaloosa,AL
2022-05-09 00:00:00+00:00,0,4,Detroit,MI
2022-05-08 00:00:00+00:00,3,3,Clarkston,GA
2022-05-07 00:00:00+00:00,1,3,Pine Bluff,AR
2022-05-07 00:00:00+00:00,2,2,Garland,TX
2022-05-07 00:00:00+00:00,1,3,Hamilton (Fairfield),OH
2022-05-07 00:00:00+00:00,0,4,Miami,FL
2022-05-07 00:00:00+00:00,2,3,Lexington,KY
2022-05-06 00:00:00+00:00,2,4,New Orleans,LA
2022-05-05 00:00:00+00:00,0,5,Sunnyside,WA
2022-05-03 00:00:00+00:00,0,5,Beaumont,TX
2022-05-03 00:00:00+00:00,0,4,Cowley Co. (Arkansas City),KS
2022-05-03 00:00:00+00:00,0,4,Chicago ,IL
2022-05-03 00:00:00+00:00,0,5,Baton Rouge,LA
2022-05-01 00:00:00+00:00,1,3,North Charleston,SC
2022-05-01 00:00:00+00:00,0,6,Tarpon Springs,FL
2022-05-01 00:00:00+00:00,0,12,Lafayette,LA
2022-05-01 00:00:00+00:00,1,3,Clinton,NC
2022-05-01 00:00:00+00:00,1,4,Springfield,OH
2022-04-30 00:00:00+00:00,1,4,Atlanta,GA
2022-04-30 00:00:00+00:00,1,5,Jackson,MS
2022-04-29 00:00:00+00:00,0,4,Laurel,MS
2022-04-29 00:00:00+00:00,2,2,Jackson,TN
2022-04-29 00:00:00+00:00,0,6,New Orleans,LA
2022-04-29 00:00:00+00:00,2,2,Knoxville,TN
2022-04-28 00:00:00+00:00,1,3,Bessemer,LA
