"STATISTIC CODE","STATISTIC","TLIST(A1)","Year","C02199V02655","Sex","C02677V03567","Countries","UNIT","VALUE"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","IT","Italy","Number","81.2"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","LV","Latvia","Number","70.1"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","LI","Liechtenstein","Number","80.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","LT","Lithuania","Number","70.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","LU","Luxembourg","Number","80.1"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","MK","Macedonia","Number","74.6"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","MT","Malta","Number","80.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","ME","Montenegro","Number","74.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","NL","Netherlands","Number","80.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","NO","Norway","Number","81.1"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","PL","Poland","Number","73.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","PT","Portugal","Number","78.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","RO","Romania","Number","71.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","RS","Serbia","Number","73.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","SK","Slovakia","Number","73.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","SI","Slovenia","Number","78.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","ES","Spain","Number","80.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","SE","Sweden","Number","80.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","CH","Switzerland","Number","81.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","TR","Turkey","Number","76.2"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","GB","United Kingdom","Number","79.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","AL","Albania","Number","80.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","AT","Austria","Number","84.1"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","BE","Belgium","Number","83.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","BG","Bulgaria","Number","78.6"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","HR","Croatia","Number","81.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","CY","Cyprus","Number","84.8"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","CZ","Czech Republic","Number","82"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","DK","Denmark","Number","82.9"
